pressure,height,temperature,dewpoint,direction,speed,station,time,u_wind,v_wind,latitude,longitude
500.0,5346.0,-36.2,-46.5,250.0,31.0,KANN,1993-03-14,29.13047124436316,10.602624443095722,,
300.0,8824.0,-44.7,,252.0,44.0,KANN,1993-03-14,41.84648671698675,13.596747752497693,,
500.0,5288.0,-22.3,-36.1,260.0,104.0,KAYS,1993-03-14,102.42000631326964,18.059410477360753,31.25,-82.4
300.0,8937.0,-38.2,-49.4,,,KAYS,1993-03-14,,,31.25,-82.4
500.0,5533.0,-28.3,-42.4,121.0,12.0,KBET,1993-03-14,-10.286007608425347,6.180456898920649,,
300.0,9026.0,-48.7,,108.0,54.0,KBET,1993-03-14,-51.3570518799383,16.686917696247157,,
500.0,5326.0,-34.2,-44.7,330.0,64.0,KBIS,1993-03-14,32.00000000000003,-55.425625842204056,46.766666666666666,-100.75
300.0,8769.0,-53.2,,328.0,92.0,KBIS,1993-03-14,48.75257230945486,-78.02042484639118,46.766666666666666,-100.75
500.0,5124.0,-39.7,-53.1,276.0,19.0,KBNA,1993-03-14,18.895916011997194,-1.986040802085407,36.11666666666667,-86.68333333333334
300.0,8584.0,-42.9,,269.0,39.0,KBNA,1993-03-14,38.99406011109926,0.6806438510540564,36.11666666666667,-86.68333333333334
500.0,5626.0,-19.2,-30.4,288.0,37.0,KBOI,1993-03-14,35.189091102920685,-11.433628791873048,43.56666666666667,-116.23333333333333
300.0,9226.0,-47.1,,280.0,54.0,KBOI,1993-03-14,53.17961866265924,-9.377001594014219,43.56666666666667,-116.23333333333333
500.0,5728.0,-12.0,-28.3,282.0,62.0,KBRO,1993-03-14,60.645151245495946,-12.890524830701084,25.916666666666668,-97.41666666666667
300.0,9438.0,-40.1,-54.2,301.0,92.0,KBRO,1993-03-14,78.85939166459434,-47.38350289172497,25.916666666666668,-97.41666666666667
500.0,5469.0,-29.2,-39.4,327.0,56.0,KBRW,1993-03-14,30.49978596084151,-46.96555180494374,,
300.0,8944.0,-54.1,,322.0,85.0,KBRW,1993-03-14,52.33122540268094,-66.98091405657136,,
500.0,5191.0,-21.5,-23.4,172.0,39.0,KBUF,1993-03-14,-5.427750937442546,38.62045468092124,42.93333333333333,-78.73333333333333
