time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],air_pressure_at_sea_level[unit="hectoPascal"],air_temperature[unit="Celsius"],cloud_area_fraction[unit=""],dew_point_temperature[unit="Celsius"],high_cloud_area_fraction[unit=""],high_cloud_base_altitude[unit="meters"],low_cloud_area_fraction[unit=""],low_cloud_base_altitude[unit="meters"],middle_cloud_area_fraction[unit=""],middle_cloud_base_altitude[unit="meters"],precipitation_amount_24[unit=".01 inches"],precipitation_amount_hourly[unit=".01 inches"],visibility_in_air[unit="US_statute_mile"],weather,wind_from_direction[unit="degrees"],wind_speed[unit="m/s"],xfields
2016-01-16 00:00:00Z,WNZ,49.750,-84.169,1011.6,-19.8,NaN,-21.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,30,3.086664,AO1 SOG 27 8001 50007
2016-01-16 00:00:00Z,WOC,48.020,-65.330,1009.6,-10.9,NaN,-15.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,300,5.14444,AO1 50010
2016-01-16 00:00:00Z,WOD,48.830,-72.550,1013.6,-21.9,NaN,-24.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,300,2.057776,AO1 SOG 22 8024
2016-01-16 00:00:00Z,WOE,49.119,-110.470,1019.8,-15.7,NaN,-17.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,290,3.601108,AO1 SOG 05 2022 50002
2016-01-16 00:00:00Z,WPC,42.869,-79.250,999.4,7.7,NaN,-0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,230,3.086664,AO1 58007
2016-01-16 00:00:00Z,WPD,47.569,-71.230,1015.3,-17.4,NaN,-18.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,50,1.543332,AO1 55014
2016-01-16 00:00:00Z,WPK,47.919,-74.620,1012.8,-13.9,NaN,-16.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,100,2.057776,AO1 SOG 20 6016
2016-01-16 00:00:00Z,WPO,49.200,-98.900,1020.3,-21.0,NaN,-23.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,310,4.115552,AO1 SOG 16 1019
2016-01-16 00:00:00Z,WPS,42.569,-80.050,997.8,7.0,NaN,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-99999,NaN,AO1 58008
2016-01-16 00:00:00Z,WQO,48.419,-68.900,NaN,-9.4,NaN,-13.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,300,4.115552,AO1
2016-01-16 00:00:00Z,WQP,43.830,-77.150,1002.4,-1.6,NaN,-3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,60,9.259992,AO1 SOG 14 6013
2016-01-16 00:00:00Z,WQV,48.270,-70.120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,280,5.658884,AO1
2016-01-15 23:58:00Z,WRB,32.630,-83.599,1005.3,13.1,1.0,8.7,NaN,NaN,1.0,1020.0,NaN,NaN,NaN,NaN,10.0,,250,3.086664,AO2 10146 20118 52025
2016-01-15 23:58:00Z,WRI,40.020,-74.599,1005.1,8.6,0.0,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,0,0.0,AO2 10141 20085 58006
2016-01-15 23:58:00Z,WRI,40.020,-74.599,1005.1,8.6,0.0,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,0,0.0,AO2 10141 20085 58006
