,timeObs,stationName,longitude,latitude,temperature,dewpoint,windDir,windSpeed,seaLevelPress,presWeather,skyCover,skyLayerBase
454,2016-06-22 13:15:00,KSHD,-78.8499984741,38.2799987793,24.0,18.0,0.0,0.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
455,2016-06-22 13:15:00,KSHL,-95.8300018311,43.2200012207,31.0,20.0,340.0,11.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
456,2016-06-22 13:15:00,KSLB,-95.2300033569,42.5999984741,31.0,21.0,340.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
457,2016-06-22 13:15:00,KSLR,-95.6210021973,33.1599998474,33.0,23.0,200.0,10.0,-9999.0,"['', '', '', '', '']","['BKN', 'BKN', 'BKN', '', '', '']","[3800.0, 5000.0, 6000.0, -9999.0, -9999.0, -9999.0]"
458,2016-06-22 13:15:00,KSME,-84.6139984131,37.0550003052,27.0,21.0,30.0,6.0,-9999.0,"['', '', '', '', '']","['BKN', 'BKN', 'BKN', '', '', '']","[2700.0, 3600.0, 4400.0, -9999.0, -9999.0, -9999.0]"
459,2016-06-22 13:15:00,KSNH,-88.2200012207,35.1699981689,34.0,20.0,220.0,9.0,-9999.0,"['', '', '', '', '']","['SCT', 'SCT', '', '', '', '']","[5000.0, 5500.0, -9999.0, -9999.0, -9999.0, -9999.0]"
444,2016-06-22 13:15:00,KRAS,-97.0889968872,27.8120002747,30.0,26.0,160.0,8.0,-9999.0,"['', '', '', '', '']","['SCT', 'SCT', '', '', '', '']","[1900.0, 2600.0, -9999.0, -9999.0, -9999.0, -9999.0]"
442,2016-06-22 13:15:00,KMXO,-91.1699981689,42.2299995422,27.0,21.0,170.0,13.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
425,2016-06-22 13:15:00,KJWY,-96.9120025635,32.4560012817,34.0,23.0,180.0,9.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[4500.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
441,2016-06-22 13:15:00,KMWO,-84.3949966431,39.53099823,24.0,18.0,210.0,7.0,-9999.0,"['', '', '', '', '']","['SCT', 'BKN', 'BKN', '', '', '']","[7000.0, 7500.0, 9500.0, -9999.0, -9999.0, -9999.0]"
426,2016-06-22 13:15:00,KJXI,-94.9489974976,32.6990013123,32.0,23.0,150.0,6.0,-9999.0,"['', '', '', '', '']","['SCT', 'BKN', 'BKN', '', '', '']","[3400.0, 4300.0, 5000.0, -9999.0, -9999.0, -9999.0]"
427,2016-06-22 13:15:00,KJYO,-77.5699996948,39.0800018311,28.0,13.0,310.0,11.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
